csv_file,inferred_feed_type,confidence,columns,sample_http,inferred_source_page,no_header_detected
Alabama - Crop Progress - Formatted - Sheet1_2 - Alabama - Crop Progress - Formatted - Sheet1_2_0.csv,state_releases_filtered,medium,url|title|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/AL_District_Counties.pdf,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/index.php,False
Alabama - reg.csv,race_ethnicity_and_gender_profil,high,title|pdf|state,"https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/Alabama/cpd01001.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/Alabama/index.php",False
Alabama - State and county profile - Sheet1.csv,state_and_county_profiles,high,url|county|state,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/Alabama/cp01001.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/Alabama/index.php,False
Alabama - State County Census Data - Sheet1.csv,state_census,medium,table|url|filename|state|category|query|notes,"https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/Alabama/alintro.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/Alabama/index.php",False
Alabama - State Releases .csv,state_releases,high,URL|File Name|State|Tags|Notes|Date,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/AL_District_Counties.pdf,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/index.php,False
Alabama-Release (Delta Version).csv,state_releases_filtered,high,path|title|state|category|date,,,False
Alabama-Release (Delta Version)_2.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Alabama-Release (Delta Version)_3.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Alabama-Releases-All-Dated.csv,state_releases,high,url|filename|state|category|Notes|date,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Southern/includes/Publications/Crop_Releases/Acreage/ACREAGE2021.pdf,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Southern/includes/Publications/Crop_Releases/Acreage/index.php,False
alabama-releases-all-new.csv,congressional_district_profiles,medium,url|filename|state|category|Notes,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Southern/includes/Publications/Crop_Releases/Acreage/ACREAGE2021.pdf,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Southern/includes/Publications/Crop_Releases/Acreage/index.php,False
alabama-releases-all-new_0.csv,congressional_district_profiles,medium,url|filename|state|category|Notes,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Southern/includes/Publications/Crop_Releases/Acreage/ACREAGE2021.pdf,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Southern/includes/Publications/Crop_Releases/Acreage/index.php,False
alabama-releases-all-new_1.csv,congressional_district_profiles,medium,url|filename|state|category|Notes,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Southern/includes/Publications/Crop_Releases/Acreage/ACREAGE2021.pdf,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Southern/includes/Publications/Crop_Releases/Acreage/index.php,False
Alabama-Releases-New.csv,state_releases,high,URL|File Name|State|Tags|Notes|Date,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/AL_District_Counties.pdf,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/index.php,False
Alabama-Releases-New_0.csv,state_releases,high,URL|File Name|State|Tags|Notes|Date,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/AL_District_Counties.pdf,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/index.php,False
Alabama-Releases-New_1.csv,state_releases,high,URL|filename|State|Tags|Notes|Date,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/AL_District_Counties.pdf,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/index.php,False
Alabama-Releases-New_2.csv,state_releases,high,URL|filename|State|Tags|Notes|Date,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/AL_District_Counties.pdf,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/index.php,False
alaska - alaska.csv,race_ethnicity_and_gender_profil,high,title|pdf|state,"https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/Alaska/cpd02000.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/Alaska/index.php",False
Alaska - Crop Progress and Condition.csv,state_releases_filtered,medium,url|title|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Alaska/Publications/Crop_Progress_&_Condition/2021/CW051021.pdf,https://www.nass.usda.gov/Statistics_by_State/Alaska/Publications/Crop_Progress_&_Condition/2021/index.php,False
Alaska - State County Census Data - Sheet1.csv,state_census,medium,table|url|filename|state|category|query,"https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/Alaska/akv1.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/Alaska/index.php",False
Alaska Congressional District Profiles.csv,congressional_district_profiles,medium,url|filename|state|category,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Congressional_District_Profiles/cd0201.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Congressional_District_Profiles/index.php,False
Alaska Releases - Final Version - Alaska Releases - Final Version (3).csv,state_releases_filtered,medium,url|title|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Alaska/Publications/50_Year_Highlights/AK_Potato_Stocks.pdf,https://www.nass.usda.gov/Statistics_by_State/Alaska/Publications/50_Year_Highlights/index.php,False
Alaska Releases - Final Version.csv,state_releases_filtered,high,path|title|state|category|date|,,,False
Alaska Releases - Final Version_0.csv,state_releases_filtered,high,path|title|state|category|date|,,,False
Alaska Releases - Final Version_1.csv,state_releases_filtered,high,path|title|state|category|date|,,,False
Alaska State & County Profiles .csv,state_and_county_profiles,high,url|county|state|category,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/Alaska/cp99002.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/Alaska/index.php,False
Alaska State & County Profiles _0.csv,state_and_county_profiles,high,url|county|state|category,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/Alaska/cp99002.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/Alaska/index.php,False
Alaska- State Releases.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Alaska/Publications/50_Year_Highlights/AK_Potato_Stocks.pdf,https://www.nass.usda.gov/Statistics_by_State/Alaska/Publications/50_Year_Highlights/index.php,False
Alaska- State Releases_0.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Alaska/Publications/50_Year_Highlights/AK_Potato_Stocks.pdf,https://www.nass.usda.gov/Statistics_by_State/Alaska/Publications/50_Year_Highlights/index.php,False
Alaska- State Releases_1.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Alaska/Publications/50_Year_Highlights/AK_Potato_Stocks.pdf,https://www.nass.usda.gov/Statistics_by_State/Alaska/Publications/50_Year_Highlights/index.php,False
Alaska-Releases (Delta Version).csv,state_releases_filtered,high,path|title|state|category|date,,,False
Alaska-Releases-All-v2.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Northwest/includes/Publications/Agri_facts/2021/AF01_2.pdf,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Northwest/includes/Publications/Agri_facts/2021/index.php,False
Alaska-Releases-All-v2_0.csv,state_releases,high,url|filename|state|category|date|,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Northwest/includes/Publications/Agri_facts/2021/AF01_2.pdf,https://www.nass.usda.gov/Statistics_by_State/Regional_Office/Northwest/includes/Publications/Agri_facts/2021/index.php,False
aquaculture - aquaculture.csv,crop_progress_and_condition_grap,high,table|title|year|pdf|resource,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Aquaculture/aqua_1_0001_0001.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Aquaculture/index.php,False
Arizona - Census_0.csv,state_census,medium,table|url|title|state|category|query,"https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/Arizona/azv1.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/Arizona/index.php",False
Arizona - reg.csv,race_ethnicity_and_gender_profil,high,title|pdf|state,"https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/Arizona/cpd04001.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/Arizona/index.php",False
Arizona -Releases (Delta).csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/2012-AZ-Final-Bulletin.pdf,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/index.php,False
Arizona Congressional District Profiles.csv,congressional_district_profiles,medium,url|filename|state|category,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Congressional_District_Profiles/cd0501.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Congressional_District_Profiles/index.php,False
Arizona Releases - Delta Version.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arizona Releases - Delta Version_0 - FINAL.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arizona Releases - Delta Version_0 - FINAL_0.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arizona Releases - Delta Version_0.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arizona Releases - Delta Version_0_0.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arizona State & County Level Data.csv,state_census,medium,table|url|filename|state|category|query,"https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/Arizona/azv1.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/Arizona/index.php",False
Arizona State & County Profiles.csv,state_and_county_profiles,high,url|county|state|category,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/Arizona/cp99004.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/Arizona/index.php,False
Arizona- State Releases - Title Added .csv,state_releases,medium,url|title|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/2012-AZ-Final-Bulletin.pdf,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/index.php,False
Arizona- State Releases - Title Added.csv,state_releases,medium,url|title|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/2012-AZ-Final-Bulletin.pdf,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/index.php,False
Arizona- State Releases - Title Added_0.csv,state_releases,medium,url|title|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/2012-AZ-Final-Bulletin.pdf,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/index.php,False
Arizona- State Releases - Title Added_1.csv,state_releases,medium,url|title|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/2012-AZ-Final-Bulletin.pdf,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/index.php,False
Arizona- State Releases .csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/2012-AZ-Final-Bulletin.pdf,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/index.php,False
Arizona- State Releases _0.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/2012-AZ-Final-Bulletin.pdf,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/index.php,False
Arizona-Releases (Delta Version) Christa Edits.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arizona-Releases (Delta Version) Christa Edits_0.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arizona-Releases (Delta Version).csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arizona-Releases (Delta Version)_2.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arizona-Releases.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/2012-AZ-Final-Bulletin.pdf,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/index.php,False
Arizona-Releases_0.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/2012-AZ-Final-Bulletin.pdf,https://www.nass.usda.gov/Statistics_by_State/Arizona/Publications/Annual_Statistical_Bulletin/2012/index.php,False
Arkansas - REG.csv,race_ethnicity_and_gender_profil,high,title|pdf|state,"https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/Arkansas/cpd05001.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/Arkansas/index.php",False
Arkansas Congressional District Profiles.csv,congressional_district_profiles,medium,url|filename|state|category,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Congressional_District_Profiles/cd0401.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Congressional_District_Profiles/index.php,False
Arkansas State & County Level Data.csv,state_census,medium,table|url|filename|state|category|query,"https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/Arkansas/arv1.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/Arkansas/index.php",False
Arkansas State & County Profiles .csv,state_and_county_profiles,high,url|county|state|category,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/Arkansas/cp99005.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/Arkansas/index.php,False
Arkansas- State Releases.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arkansas/Publications/County_Estimates/DistMap.pdf,https://www.nass.usda.gov/Statistics_by_State/Arkansas/Publications/County_Estimates/index.php,False
Arkansas- State Releases_0.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arkansas/Publications/County_Estimates/DistMap.pdf,https://www.nass.usda.gov/Statistics_by_State/Arkansas/Publications/County_Estimates/index.php,False
Arkansas- State Releases_1.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arkansas/Publications/County_Estimates/DistMap.pdf,https://www.nass.usda.gov/Statistics_by_State/Arkansas/Publications/County_Estimates/index.php,False
Arkansas-Releases (Delta Version).csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arkansas-Releases (Delta Version)_0.csv,state_releases_filtered,high,path|title|state|category|date,,,False
Arkansas-Releases.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Arkansas/Publications/County_Estimates/DistMap.pdf,https://www.nass.usda.gov/Statistics_by_State/Arkansas/Publications/County_Estimates/index.php,False
asb.csv,asb_notice_feed,high,title|url,https://www.nass.usda.gov/Newsroom/Notices/2022/01-13-2022.php,https://www.nass.usda.gov/Newsroom/Notices/2022/01-13-2022.php,False
asb_briefings.csv,asb_briefings,high,date|title|referring_url,https://www.nass.usda.gov/Newsroom/Executive_Briefings/2022/11-09-2022.pdf,https://www.nass.usda.gov/Newsroom/Executive_Briefings/2022/index.php,False
asb_briefings_0.csv,asb_briefings,high,date|news_title|referring_url,https://www.nass.usda.gov/Newsroom/Executive_Briefings/2022/11-09-2022.pdf,https://www.nass.usda.gov/Newsroom/Executive_Briefings/2022/index.php,False
ASB_correctionlog.csv,statistical_release_corrections,high,Title|Report Name|Release Date|Correction Description|Notification Date,,,False
asb_notices - asb_notices.csv,asb_notice,medium,date|news_title|referring_url|url_redirect|news_new_url|content,https://www.nass.usda.gov/Newsroom/Notices/2023/08-08-2023.php,https://www.nass.usda.gov/Newsroom/Notices/2023/08-08-2023.php,False
asb_notices.csv,asb_notice,medium,content|url_redirect|news_title|news_new_url|date|referring_url,https://www.nass.usda.gov/Newsroom/Notices/2022/09-06-2022.php,https://www.nass.usda.gov/Newsroom/Notices/2022/09-06-2022.php,False
az_pdf copy_0.csv,pdf,high,url|filename,http://www.nass.usda.gov/research/reports/RRGJ7.pdf,http://www.nass.usda.gov/research/reports/index.php,False
az_pdf_3.csv,pdf,high,url|filename,http://www.nass.usda.gov/research/reports/RRGJ7.pdf,http://www.nass.usda.gov/research/reports/index.php,False
boardCSV (2).csv,national_release,high,Release DateTime|Release Name|Release URL|QuickStats Only Release,https://usda.library.cornell.edu/concern/publications/ng451h506,https://usda.library.cornell.edu/concern/publications/index.php,False
boardCSV (3)_0.csv,national_release,high,Release DateTime|Release Name|Release Filename|Release URL|QuickStats Only Release|Release Static Link|Release Includes JSON,https://usda.library.cornell.edu/concern/publications/ng451h506,https://usda.library.cornell.edu/concern/publications/index.php,False
boardCSV-2024.csv,national_release,high,Release DateTime|Release Name|Release Filename|Release URL|QuickStats Only Release|Release Static Link|Release Includes JSON,https://usda.library.cornell.edu/concern/publications/ng451h506,https://usda.library.cornell.edu/concern/publications/index.php,False
California - reg.csv,race_ethnicity_and_gender_profil,high,title|pdf|state,"https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/California/cpd06061.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/California/index.php",False
California Congressional District Profiles.csv,congressional_district_profiles,medium,url|filename|state|category,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Congressional_District_Profiles/cd0601.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Congressional_District_Profiles/index.php,False
California State & County Level Data.csv,state_census,medium,table|url|filename|state|category|query,"https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/California/cav1.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Full_Report/Volume_1,_Chapter_1_State_Level/California/index.php",False
California State & County Profiles.csv,state_and_county_profiles,high,url|county|state|category,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/California/cp99006.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/County_Profiles/California/index.php,False
California- State Releases.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/California/Publications/AgComm/CCAC_Annual_Crop_Report_Manual_r2012.pdf,https://www.nass.usda.gov/Statistics_by_State/California/Publications/AgComm/index.php,False
California- State Releases_0.csv,state_releases,high,url|filename|state|category|date,https://www.nass.usda.gov/Statistics_by_State/California/Publications/AgComm/CCAC_Annual_Crop_Report_Manual_r2012.pdf,https://www.nass.usda.gov/Statistics_by_State/California/Publications/AgComm/index.php,False
California-Releases (Delta Version).csv,state_releases_filtered,high,path|title|state|category|date,,,False
California-Releases (Delta Version)_0.csv,state_releases_filtered,high,path|title|state|category|date,,,False
California-Releases (Delta Version)_1.csv,state_releases_filtered,high,path|title|state|category|date,,,False
California-Releases (Delta Version)_2.csv,state_releases_filtered,high,path|title|state|category|date,,,False
