Release DateTime,Release Name,Release Filename,Release URL,QuickStats Only Release,Release Static Link,Release Includes JSON
2018-01-31T15:00:00Z,"Cattle",catl0118,https://usda.library.cornell.edu/concern/publications/h702q636h,N,N,N
2018-01-31T15:00:00Z,"Egg Products",eggs0118,https://usda.library.cornell.edu/concern/publications/hx11xf25t,N,N,N
2018-01-31T15:00:00Z,"Sheep and Goats",shep0118,https://usda.library.cornell.edu/concern/publications/000000018,N,N,N
2018-02-01T15:00:00Z,"Cotton System",cact0218,https://usda.library.cornell.edu/concern/publications/ng451h506,N,N,N
2018-02-01T15:00:00Z,"Dairy Products",dary0218,https://usda.library.cornell.edu/concern/publications/m326m1757,N,N,N
2018-02-01T15:00:00Z,"Fats & Oils",cafo0218,https://usda.library.cornell.edu/concern/publications/mp48sc77c,N,N,N
2018-02-01T15:00:00Z,"Flour Milling",cafl0218,https://usda.library.cornell.edu/concern/publications/cr56n097m,N,N,N
2018-02-01T15:00:00Z,"Grain Crushings",cagc0218,https://usda.library.cornell.edu/concern/publications/n583xt96p,N,N,N
2018-02-02T15:00:00Z,"Catfish Production",cfpd0218,https://usda.library.cornell.edu/concern/publications/bg257f046,N,N,N
2018-02-02T15:00:00Z,"Peanut Prices",pnpr0518,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-02-07T15:00:00Z,"Broiler Hatchery",brls0618,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-02-08T12:00:00Z,"Cotton Ginnings",ctgn0618,https://usda.library.cornell.edu/concern/publications/q524jn76v,N,N,N
2018-02-08T12:00:00Z,"Crop Production",crop0218,https://usda.library.cornell.edu/concern/publications/tm70mv177,N,N,N
2018-02-09T15:00:00Z,"Peanut Prices",pnpr0618,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-02-12T15:00:00Z,"North American Potatoes",uscp0218,https://usda.library.cornell.edu/concern/publications/4m90dv511,N,N,N
2018-02-13T15:00:00Z,"Vegetables - Ann.",vegean18,https://usda.library.cornell.edu/concern/publications/02870v86p,N,N,N
2018-02-14T15:00:00Z,"Broiler Hatchery",brls0718,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-02-15T12:00:00Z,"Potato Stocks",post0218,https://usda.library.cornell.edu/concern/publications/47429915b,N,N,N
2018-02-15T15:00:00Z,"Turkey Hatchery",tkha0218,https://usda.library.cornell.edu/concern/publications/k643b117x,N,N,N
2018-02-16T12:00:00Z,"Farms and Land in Farms",fnlo0218,https://usda.library.cornell.edu/concern/publications/5712m6524,N,N,N
2018-02-16T12:00:00Z,"Peanut Prices",pnpr0718,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-02-21T15:00:00Z,"Broiler Hatchery",brls0818,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-02-21T15:00:00Z,"Milk Production",mkpr0218,https://usda.library.cornell.edu/concern/publications/h989r321c,N,N,N
2018-02-22T15:00:00Z,"Cold Storage",cost0218,https://usda.library.cornell.edu/concern/publications/pg15bd892,N,N,N
2018-02-22T15:00:00Z,"Cold Storage - Ann.",costan18,https://usda.library.cornell.edu/concern/publications/sb397824g,N,N,N
2018-02-22T15:00:00Z,"Livestock Slaughter",lstk0218,https://usda.library.cornell.edu/concern/publications/rx913p88g,N,N,N
2018-02-22T15:00:00Z,"County Estimates: Corn 2016-2017",cecnan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-02-22T15:00:00Z,"County Estimates: Sorghum 2016-2017",cesoan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-02-22T15:00:00Z,"County Estimates: Soybeans 2016-2017",cesban18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-02-22T15:00:00Z,"County Estimates: Sunflowers 2016-2017",cesnan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-02-23T15:00:00Z,"Cattle on Feed",cofd0218,https://usda.library.cornell.edu/concern/publications/m326m174z,N,N,N
2018-02-23T15:00:00Z,"Crop Values",cpvl0218,https://usda.library.cornell.edu/concern/publications/k35694332,N,N,N
2018-02-23T15:00:00Z,"Peanut Prices",pnpr0818,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-02-26T15:00:00Z,"Chickens and Eggs - Ann.",ckegan18,https://usda.library.cornell.edu/concern/publications/1v53jw96n,N,N,N
2018-02-26T15:00:00Z,"Poultry Slaughter",psla0218,https://usda.library.cornell.edu/concern/publications/3197xm04j,N,N,N
2018-02-26T15:00:00Z,"Poultry Slaughter - Ann.",pslaan18,https://usda.library.cornell.edu/concern/publications/pg15bd88s,N,N,N
2018-02-26T15:00:00Z,"Trout Production",trpr0218,https://usda.library.cornell.edu/concern/publications/t722h882h,N,N,N
2018-02-27T12:00:00Z,"State Stories",stwe0918,https://usda.library.cornell.edu/concern/publications/fq977t77k,N,N,N
2018-02-27T15:00:00Z,"Agricultural Prices",agpr0218,https://usda.library.cornell.edu/concern/publications/c821gj76b,N,N,N
2018-02-27T15:00:00Z,"Chickens and Eggs",ckeg0218,https://usda.library.cornell.edu/concern/publications/fb494842n,N,N,N
2018-02-27T15:00:00Z,"Peanut Stocks and Processing",pnst0218,https://usda.library.cornell.edu/concern/publications/02870v87z,N,N,N
2018-02-28T15:00:00Z,"Broiler Hatchery",brls0918,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-02-28T15:00:00Z,"Egg Products",eggs0218,https://usda.library.cornell.edu/concern/publications/hx11xf25t,N,N,N
2018-03-01T15:00:00Z,"Cotton System",cact0318,https://usda.library.cornell.edu/concern/publications/ng451h506,N,N,N
2018-03-01T15:00:00Z,"Cotton System - Ann.",cactan18,https://usda.library.cornell.edu/concern/publications/kp78gg381,N,N,N
2018-03-01T15:00:00Z,"Dairy Products",dary0318,https://usda.library.cornell.edu/concern/publications/m326m1757,N,N,N
2018-03-01T15:00:00Z,"Fats & Oils",cafo0318,https://usda.library.cornell.edu/concern/publications/mp48sc77c,N,N,N
2018-03-01T15:00:00Z,"Fats & Oils - Ann.",cafoan18,https://usda.library.cornell.edu/concern/publications/b5644r54d,N,N,N
2018-03-01T15:00:00Z,"Grain Crushings",cagc0318,https://usda.library.cornell.edu/concern/publications/n583xt96p,N,N,N
2018-03-01T15:00:00Z,"Grain Crushings - Ann.",cagcan18,https://usda.library.cornell.edu/concern/publications/v979v304g,N,N,N
2018-03-02T15:00:00Z,"Peanut Prices",pnpr0918,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-03-06T15:00:00Z,"U.S. and Canadian Cattle and Sheep",uscc0318,https://usda.library.cornell.edu/concern/publications/474299142,N,N,N
2018-03-06T15:00:00Z,"U.S. and Canadian Hogs",usch0318,https://usda.library.cornell.edu/concern/publications/7h149p85x,N,N,N
2018-03-07T15:00:00Z,"Broiler Hatchery",brls1018,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-03-08T12:00:00Z,"Cotton Ginnings",ctgn1018,https://usda.library.cornell.edu/concern/publications/q524jn76v,N,N,N
2018-03-08T12:00:00Z,"Crop Production",crop0318,https://usda.library.cornell.edu/concern/publications/tm70mv177,N,N,N
2018-03-08T15:00:00Z,"County Estimates: All Rice 2016-2017",cerian18,https://www.nass.usda.gov/Quick_Stats/Lite/index.php,Y,N,N
2018-03-08T15:00:00Z,"County Estimates: Flaxseed 2016-2017",cefxan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-03-09T15:00:00Z,"Peanut Prices",pnpr1018,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-03-09T15:00:00Z,"Price Reactions after USDA Crop Reports",prrcan18,https://usda.library.cornell.edu/concern/publications/ms35t861q,N,N,N
2018-03-14T15:00:00Z,"Broiler Hatchery",brls1118,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-03-14T15:00:00Z,"Honey",hony0318,https://usda.library.cornell.edu/concern/publications/hd76s004z,N,N,N
2018-03-15T15:00:00Z,"Hop Stocks",hops0318,https://usda.library.cornell.edu/concern/publications/sb397825r,N,N,N
2018-03-15T15:00:00Z,"Price Reactions After USDA Livestock Reports",prrlan18,https://usda.library.cornell.edu/concern/publications/z316q156s,N,N,N
2018-03-15T15:00:00Z,"Turkey Hatchery",tkha0318,https://usda.library.cornell.edu/concern/publications/k643b117x,N,N,N
2018-03-16T15:00:00Z,"Peanut Prices",pnpr1118,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-03-20T15:00:00Z,"Milk Production",mkpr0318,https://usda.library.cornell.edu/concern/publications/h989r321c,N,N,N
2018-03-21T15:00:00Z,"Broiler Hatchery",brls1218,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-03-22T15:00:00Z,"Cold Storage",cost0318,https://usda.library.cornell.edu/concern/publications/pg15bd892,N,N,N
2018-03-22T15:00:00Z,"Livestock Slaughter",lstk0318,https://usda.library.cornell.edu/concern/publications/rx913p88g,N,N,N
2018-03-23T15:00:00Z,"Cattle on Feed",cofd0318,https://usda.library.cornell.edu/concern/publications/m326m174z,N,N,N
2018-03-23T15:00:00Z,"Chickens and Eggs",ckeg0318,https://usda.library.cornell.edu/concern/publications/fb494842n,N,N,N
2018-03-23T15:00:00Z,"Peanut Prices",pnpr1218,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-03-26T15:00:00Z,"Poultry Slaughter",psla0318,https://usda.library.cornell.edu/concern/publications/3197xm04j,N,N,N
2018-03-27T12:00:00Z,"State Stories",stwe1318,https://usda.library.cornell.edu/concern/publications/fq977t77k,N,N,N
2018-03-28T15:00:00Z,"Agricultural Prices",agpr0318,https://usda.library.cornell.edu/concern/publications/c821gj76b,N,N,N
2018-03-28T15:00:00Z,"Broiler Hatchery",brls1318,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-03-28T15:00:00Z,"Peanut Stocks and Processing",pnst0318,https://usda.library.cornell.edu/concern/publications/02870v87z,N,N,N
2018-03-29T12:00:00Z,"Grain Stocks",grst0318,https://usda.library.cornell.edu/concern/publications/xg94hp534,N,N,N
2018-03-29T12:00:00Z,"Prospective Plantings",pspl0318,https://usda.library.cornell.edu/concern/publications/x633f100h,N,N,N
2018-03-29T12:00:00Z,"Rice Stocks",rice0318,https://usda.library.cornell.edu/concern/publications/d791sg19j,N,N,N
2018-03-29T15:00:00Z,"Egg Products",eggs0318,https://usda.library.cornell.edu/concern/publications/hx11xf25t,N,N,N
2018-03-29T15:00:00Z,"Hogs and Pigs",hgpg0318,https://usda.library.cornell.edu/concern/publications/rj430453j,N,N,N
2018-03-29T15:00:00Z,"Peanut Prices",pnpr1318,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-04-02T15:00:00Z,"Cotton System",cact0418,https://usda.library.cornell.edu/concern/publications/ng451h506,N,N,N
2018-04-02T15:00:00Z,"Fats & Oils",cafo0418,https://usda.library.cornell.edu/concern/publications/mp48sc77c,N,N,N
2018-04-02T15:00:00Z,"Grain Crushings",cagc0418,https://usda.library.cornell.edu/concern/publications/n583xt96p,N,N,N
2018-04-02T16:00:00Z,"Crop Progress",prog1418,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-04-04T15:00:00Z,"Broiler Hatchery",brls1418,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-04-04T15:00:00Z,"Dairy Products",dary0418,https://usda.library.cornell.edu/concern/publications/m326m1757,N,N,N
2018-04-06T15:00:00Z,"Peanut Prices",pnpr1418,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-04-09T16:00:00Z,"Crop Progress",prog1518,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-04-10T12:00:00Z,"Crop Production",crop0418,https://usda.library.cornell.edu/concern/publications/tm70mv177,N,N,N
2018-04-10T15:00:00Z,"Hatchery Production - Ann.",htpdan18,https://usda.library.cornell.edu/concern/publications/9306sz28s,N,N,N
2018-04-11T15:00:00Z,"Broiler Hatchery",brls1518,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-04-12T15:00:00Z,"Crop Production Historical Track Records",croptr18,https://usda.library.cornell.edu/concern/publications/c534fn92g,N,N,N
2018-04-13T15:00:00Z,"Peanut Prices",pnpr1518,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-04-16T15:00:00Z,"Turkey Hatchery",tkha0418,https://usda.library.cornell.edu/concern/publications/k643b117x,N,N,N
2018-04-16T16:00:00Z,"Crop Progress",prog1618,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-04-17T15:00:00Z,"Potato Stocks",post0418,https://usda.library.cornell.edu/concern/publications/47429915b,N,N,N
2018-04-18T15:00:00Z,"Broiler Hatchery",brls1618,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-04-18T15:00:00Z,"Livestock Slaughter - Ann.",lsslan18,https://usda.library.cornell.edu/concern/publications/r207tp32d,N,N,N
2018-04-19T15:00:00Z,"Livestock Slaughter",lstk0418,https://usda.library.cornell.edu/concern/publications/rx913p88g,N,N,N
2018-04-19T15:00:00Z,"County Estimates: Hay 2016-2017",ceahan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-04-20T15:00:00Z,"Cattle on Feed",cofd0418,https://usda.library.cornell.edu/concern/publications/m326m174z,N,N,N
2018-04-20T15:00:00Z,"Milk Production",mkpr0418,https://usda.library.cornell.edu/concern/publications/h989r321c,N,N,N
2018-04-20T15:00:00Z,"Peanut Prices",pnpr1618,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-04-23T15:00:00Z,"Chickens and Eggs",ckeg0418,https://usda.library.cornell.edu/concern/publications/fb494842n,N,N,N
2018-04-23T15:00:00Z,"Cold Storage",cost0418,https://usda.library.cornell.edu/concern/publications/pg15bd892,N,N,N
2018-04-23T16:00:00Z,"Crop Progress",prog1718,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-04-25T15:00:00Z,"Broiler Hatchery",brls1718,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-04-25T15:00:00Z,"Poultry Slaughter",psla0418,https://usda.library.cornell.edu/concern/publications/3197xm04j,N,N,N
2018-04-26T15:00:00Z,"Dairy Products - Ann.",daryan18,https://usda.library.cornell.edu/concern/publications/jm214p131,N,N,N
2018-04-26T15:00:00Z,"Meat Animals - PDI",meatan18,https://usda.library.cornell.edu/concern/publications/02870v85d,N,N,N
2018-04-26T15:00:00Z,"Milk - PDI",mlkpdi18,https://usda.library.cornell.edu/concern/publications/4b29b5974,N,N,N
2018-04-26T15:00:00Z,"County Estimates: Dry Beans 2016-2017",cedban18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-04-26T15:00:00Z,"County Estimates: Tobacco 2016-2017",cetban18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-04-27T15:00:00Z,"Agricultural Prices",agpr0418,https://usda.library.cornell.edu/concern/publications/c821gj76b,N,N,N
2018-04-27T15:00:00Z,"Peanut Prices",pnpr1718,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-04-27T15:00:00Z,"Peanut Stocks and Processing",pnst0418,https://usda.library.cornell.edu/concern/publications/02870v87z,N,N,N
2018-04-27T15:00:00Z,"Poultry - Production and Value",plva0418,https://usda.library.cornell.edu/concern/publications/m039k491c,N,N,N
2018-04-30T15:00:00Z,"Egg Products",eggs0418,https://usda.library.cornell.edu/concern/publications/hx11xf25t,N,N,N
2018-04-30T16:00:00Z,"Crop Progress",prog1818,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-05-01T15:00:00Z,"Cotton System",cact0518,https://usda.library.cornell.edu/concern/publications/ng451h506,N,N,N
2018-05-01T15:00:00Z,"Fats & Oils",cafo0518,https://usda.library.cornell.edu/concern/publications/mp48sc77c,N,N,N
2018-05-01T15:00:00Z,"Flour Milling",cafl0518,https://usda.library.cornell.edu/concern/publications/cr56n097m,N,N,N
2018-05-01T15:00:00Z,"Flour Milling - Ann.",caflan18,https://usda.library.cornell.edu/concern/publications/ws859f64s,N,N,N
2018-05-01T15:00:00Z,"Grain Crushings",cagc0518,https://usda.library.cornell.edu/concern/publications/n583xt96p,N,N,N
2018-05-02T15:00:00Z,"Broiler Hatchery",brls1818,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-05-03T15:00:00Z,"Dairy Products",dary0518,https://usda.library.cornell.edu/concern/publications/m326m1757,N,N,N
2018-05-04T15:00:00Z,"Peanut Prices",pnpr1818,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-05-07T16:00:00Z,"Crop Progress",prog1918,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-05-09T15:00:00Z,"Broiler Hatchery",brls1918,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-05-10T12:00:00Z,"Cotton Ginnings - Ann.",ctgnan18,https://usda.library.cornell.edu/concern/publications/6108vb275,N,N,N
2018-05-10T12:00:00Z,"Crop Production",crop0518,https://usda.library.cornell.edu/concern/publications/tm70mv177,N,N,N
2018-05-10T15:00:00Z,"County Estimates: Cotton 2016-2017",cectan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-05-10T15:00:00Z,"County Estimates: Peanuts 2016-2017",cepnal18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-05-11T15:00:00Z,"Peanut Prices",pnpr1918,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-05-11T15:00:00Z,"Agricultural Chemical Usage - Field Crops",agcufc18,https://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use,Y,N,N
2018-05-14T15:00:00Z,"County Estimates: Cattle 2017-2018",cectan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-05-14T15:00:00Z,"County Estimates: Sheep 2017-2018",ceshan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-05-14T16:00:00Z,"Crop Progress",prog2018,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-05-15T15:00:00Z,"Turkey Hatchery",tkha0518,https://usda.library.cornell.edu/concern/publications/k643b117x,N,N,N
2018-05-16T15:00:00Z,"Broiler Hatchery",brls2018,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-05-17T15:00:00Z,"Farm Labor",fmla0518,https://usda.library.cornell.edu/concern/publications/x920fw89s,N,N,N
2018-05-18T15:00:00Z,"Milk Production",mkpr0518,https://usda.library.cornell.edu/concern/publications/h989r321c,N,N,N
2018-05-18T15:00:00Z,"Peanut Prices",pnpr2018,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-05-21T16:00:00Z,"Crop Progress",prog2118,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-05-22T15:00:00Z,"Chickens and Eggs",ckeg0518,https://usda.library.cornell.edu/concern/publications/fb494842n,N,N,N
2018-05-22T15:00:00Z,"Cold Storage",cost0518,https://usda.library.cornell.edu/concern/publications/pg15bd892,N,N,N
2018-05-23T15:00:00Z,"Broiler Hatchery",brls2118,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-05-24T15:00:00Z,"Livestock Slaughter",lstk0518,https://usda.library.cornell.edu/concern/publications/rx913p88g,N,N,N
2018-05-25T12:00:00Z,"Cattle on Feed",cofd0518,https://usda.library.cornell.edu/concern/publications/m326m174z,N,N,N
2018-05-25T12:00:00Z,"Peanut Prices",pnpr2118,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-05-25T12:00:00Z,"Poultry Slaughter",psla0518,https://usda.library.cornell.edu/concern/publications/3197xm04j,N,N,N
2018-05-29T16:00:00Z,"Crop Progress",prog2218,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-05-30T15:00:00Z,"Agricultural Prices",agpr0518,https://usda.library.cornell.edu/concern/publications/c821gj76b,N,N,N
2018-05-30T15:00:00Z,"Peanut Stocks and Processing",pnst0518,https://usda.library.cornell.edu/concern/publications/02870v87z,N,N,N
2018-05-31T15:00:00Z,"Broiler Hatchery",brls2218,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-05-31T15:00:00Z,"Egg Products",eggs0518,https://usda.library.cornell.edu/concern/publications/hx11xf25t,N,N,N
2018-05-31T15:00:00Z,"County Estimates: Pr. Tomatoes 2016-2017",ceptan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-05-31T15:00:00Z,"County Estimates: Sugarbeets 2016-2017",cesban18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-05-31T15:00:00Z,"County Estimates: Sugarcane 2016-2017",cesgan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-06-01T15:00:00Z,"Cotton System",cact0618,https://usda.library.cornell.edu/concern/publications/ng451h506,N,N,N
2018-06-01T15:00:00Z,"Fats & Oils",cafo0618,https://usda.library.cornell.edu/concern/publications/mp48sc77c,N,N,N
2018-06-01T15:00:00Z,"Grain Crushings",cagc0618,https://usda.library.cornell.edu/concern/publications/n583xt96p,N,N,N
2018-06-01T15:00:00Z,"Peanut Prices",pnpr2218,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-06-04T15:00:00Z,"Dairy Products",dary0618,https://usda.library.cornell.edu/concern/publications/m326m1757,N,N,N
2018-06-04T16:00:00Z,"Crop Progress",prog2318,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-06-06T15:00:00Z,"Broiler Hatchery",brls2318,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-06-08T15:00:00Z,"Peanut Prices",pnpr2318,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-06-11T15:00:00Z,"County Estimates: Poultry 2016-2017",cepoan18,https://www.nass.usda.gov/Quick_Stats/Lite/,Y,N,N
2018-06-11T16:00:00Z,"Crop Progress",prog2418,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-06-12T12:00:00Z,"Crop Production",crop0618,https://usda.library.cornell.edu/concern/publications/tm70mv177,N,N,N
2018-06-13T15:00:00Z,"Broiler Hatchery",brls2418,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-06-14T15:00:00Z,"Potato Stocks",post0618,https://usda.library.cornell.edu/concern/publications/47429915b,N,N,N
2018-06-15T15:00:00Z,"Peanut Prices",pnpr2418,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-06-15T15:00:00Z,"Turkey Hatchery",tkha0618,https://usda.library.cornell.edu/concern/publications/k643b117x,N,N,N
2018-06-18T16:00:00Z,"Crop Progress",prog2518,https://usda.library.cornell.edu/concern/publications/8336h188j,N,N,N
2018-06-19T15:00:00Z,"Milk Production",mkpr0618,https://usda.library.cornell.edu/concern/publications/h989r321c,N,N,N
2018-06-20T15:00:00Z,"Broiler Hatchery",brls2518,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-06-21T15:00:00Z,"Livestock Slaughter",lstk0618,https://usda.library.cornell.edu/concern/publications/rx913p88g,N,N,N
2018-06-22T15:00:00Z,"Cattle on Feed",cofd0618,https://usda.library.cornell.edu/concern/publications/m326m174z,N,N,N
